Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T2-VLM1+Drag, , Alpha,T7-VLM2+Drag, , 
          8.5,     0.8609915, ,           8.5,     0.8609915, ,           8.5,      0.867415, ,           8.5,     0.8545153, ,           8.5,     0.8479863, ,           8.5,     0.8737863, ,             8,     0.8620764, ,           7.5,     0.8676349, ,           8.5,     0.8741889, ,           8.5,     0.8804227, ,           8.5,     0.8864299, , , , , 
            9,     0.9038616, ,             9,     0.9038616, ,             9,     0.9102578, ,             9,     0.8974125, ,             9,     0.8909103, ,             9,     0.9166018, ,           8.5,       0.90491, ,             8,     0.9104487, ,             9,     0.9174149, ,             9,     0.9238189, ,             9,     0.9299912, , , , , 
          9.5,      0.946578, ,           9.5,      0.946578, ,           9.5,     0.9529459, ,           9.5,     0.9401571, ,           9.5,     0.9336827, ,           9.5,     0.9592614, ,             9,       0.94759, ,           8.5,     0.9531082, ,           9.5,     0.9604882, ,           9.5,     0.9670629, ,           9.5,     0.9734009, , , , , 
           10,     0.9891334, ,            10,     0.9891334, ,            10,     0.9954719, ,            10,     0.9827416, ,            10,     0.9762962, ,            10,      1.001758, ,           9.5,     0.9901091, ,             9,     0.9956063, ,            10,      1.003402, ,            10,      1.010148, ,            10,      1.016652, , , , , 
         10.5,       1.03152, ,          10.5,       1.03152, ,          10.5,      1.037829, ,          10.5,      1.025159, ,          10.5,      1.018744, ,          10.5,      1.044084, ,            10,       1.03246, ,           9.5,      1.037936, ,          10.5,      1.046148, ,          10.5,      1.053066, ,          10.5,      1.059737, , , , , 
           11,      1.073732, ,            11,      1.073732, ,            11,      1.080009, ,            11,      1.067402, ,            11,      1.061018, ,            11,      1.086233, ,          10.5,      1.074636, ,            10,      1.080089, ,            11,       1.08872, ,            11,       1.09581, ,            11,      1.102649, , , , , 
         11.5,      1.115761, ,          11.5,      1.115761, ,          11.5,      1.122006, ,          11.5,      1.109463, ,          11.5,      1.103111, ,          11.5,      1.128197, ,            11,      1.116629, ,          10.5,       1.12206, ,          11.5,      1.131111, ,          11.5,      1.138375, ,          11.5,      1.145381, , , , , 
           12,      1.157601, ,            12,      1.157601, ,            12,      1.163812, ,            12,      1.151336, ,            12,      1.145017, ,            12,       1.16997, ,          11.5,      1.158433, ,            11,      1.163841, ,            12,      1.173314, ,            12,      1.180751, ,            12,      1.187927, , , , , 
         12.5,      1.199244, ,          12.5,      1.199244, ,          12.5,      1.205421, ,          12.5,      1.193014, ,          12.5,      1.186729, ,          12.5,      1.211544, ,            12,      1.200041, ,          11.5,      1.205425, ,          12.5,      1.215323, ,          12.5,      1.222934, ,          12.5,      1.230279, , , , , 
           13,      1.240685, ,            13,      1.240685, ,            13,      1.246826, ,            13,       1.23449, ,            13,       1.22824, ,            13,      1.252914, ,          12.5,      1.241446, ,            12,      1.246805, ,            13,      1.257129, ,            13,      1.264916, ,            13,      1.272432, , , , , 
, , , , , , , , , , , , , , , , , ,            13,      1.282641, ,          12.5,      1.287975, , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , ,            13,      1.328929, , , , , , , , , , , , , , 

